opened_at,closed_at,pair,direction,conviction_score,entry_price,exit_price,quantity,realized_pnl,balance_after
2026-07-04T12:44:33.358Z,2026-07-04T13:44:51.984Z,ADAUSDT,long,30,0.18,0.18,3916.781994,0.7834,9281.3801
2026-07-04T13:30:00.866Z,2026-07-04T14:30:26.785Z,XRPUSDT,short,53,1.15,1.16,1066.364102,-10.7703,9269.9834
2026-07-04T13:30:03.110Z,2026-07-04T14:30:26.916Z,DOGEUSDT,short,33,0.08,0.08,9925.941625,-2.7793,9267.2041
2026-07-04T14:15:40.386Z,2026-07-04T15:16:01.148Z,ADAUSDT,long,45,0.18,0.19,5768.813629,32.8822,9298.5156
2026-07-04T14:30:35.888Z,2026-07-04T15:31:00.813Z,XRPUSDT,long,68,1.16,1.17,1354.737896,12.0572,9310.0707
2026-07-04T14:30:38.138Z,2026-07-04T15:31:00.945Z,DOGEUSDT,short,45,0.08,0.08,13468.399507,-11.7175,9298.3532
2026-07-04T15:16:14.572Z,2026-07-04T16:16:47.505Z,ADAUSDT,long,36,0.19,0.20,4472.829537,36.2299,9331.2501
2026-07-04T15:31:03.188Z,2026-07-04T16:31:47.147Z,ETHUSDT,long,34,1790.30,1789.02,0.441468,-0.5651,9330.6850
2026-07-04T15:31:09.945Z,2026-07-04T16:31:47.271Z,XRPUSDT,long,68,1.17,1.17,1349.128902,-2.6983,9327.9868
2026-07-04T15:31:12.199Z,2026-07-04T16:31:47.392Z,DOGEUSDT,long,69,0.08,0.08,20481.743585,11.2650,9339.2517
2026-07-04T15:31:18.950Z,2026-07-04T16:31:47.635Z,LINKUSDT,long,36,8.06,8.09,103.775385,2.9057,9342.1574
2026-07-04T15:46:16.707Z,2026-07-04T16:46:47.467Z,AVAXUSDT,long,32,6.99,6.98,106.462034,-0.4258,9340.2603
2026-07-04T16:31:56.325Z,2026-07-04T17:32:17.248Z,XRPUSDT,short,36,1.17,1.17,718.811805,-2.7315,9337.1085
2026-07-04T16:31:58.574Z,2026-07-04T17:32:17.377Z,DOGEUSDT,long,39,0.08,0.08,11551.187852,-4.0429,9333.0655
2026-07-04T16:32:05.315Z,2026-07-04T17:32:17.622Z,LINKUSDT,long,30,8.09,8.10,86.577235,0.9523,9334.0179
2026-07-04T17:02:30.732Z,2026-07-04T18:02:48.003Z,ADAUSDT,long,30,0.19,0.20,3605.350075,14.4214,9347.9493
2026-07-04T17:32:26.357Z,2026-07-04T18:32:48.258Z,XRPUSDT,short,35,1.17,1.18,695.500780,-1.1128,9346.2896
2026-07-04T18:03:01.678Z,2026-07-04T19:03:17.044Z,ADAUSDT,long,39,0.20,0.20,4598.511872,-11.4963,9333.4055
2026-07-04T18:32:57.320Z,2026-07-04T19:33:17.190Z,XRPUSDT,short,49,1.18,1.17,973.489054,6.5224,9339.9278
2026-07-04T18:32:59.553Z,2026-07-04T19:33:17.307Z,DOGEUSDT,short,50,0.08,0.08,14777.992811,5.7634,9345.6912
2026-07-04T19:33:26.240Z,2026-07-04T20:33:49.460Z,XRPUSDT,short,55,1.17,1.16,1098.881945,8.2416,9351.6621
2026-07-04T19:33:28.476Z,2026-07-04T20:33:49.593Z,DOGEUSDT,short,33,0.08,0.08,9799.871855,6.0759,9357.7380
2026-07-04T19:33:30.709Z,2026-07-04T20:33:49.717Z,ADAUSDT,short,44,0.19,0.19,5309.350940,9.5568,9367.2948
2026-07-04T20:19:05.302Z,2026-07-04T21:19:33.111Z,AVAXUSDT,short,30,6.98,7.00,100.370677,-2.3085,9361.9376
2026-07-04T20:33:58.496Z,2026-07-04T21:34:32.747Z,XRPUSDT,short,91,1.16,1.17,1834.431928,-6.9708,9354.9667
2026-07-04T20:34:00.755Z,2026-07-04T21:34:32.872Z,DOGEUSDT,short,83,0.08,0.08,24896.853152,-6.9711,9347.9956
2026-07-04T20:34:02.999Z,2026-07-04T21:34:32.986Z,ADAUSDT,short,43,0.19,0.19,5243.340556,-6.2920,9341.7036
2026-07-04T21:34:41.812Z,2026-07-04T22:35:00.917Z,XRPUSDT,short,63,1.17,1.16,1262.392376,4.2921,9345.1129
2026-07-04T22:35:10.674Z,2026-07-04T23:35:29.196Z,XRPUSDT,short,57,1.16,1.16,1145.825668,3.3229,9346.7117
